title,clip_score,blip2_vqa_score,blip2_itc_score,blip2_itm_score,unidet_score,aesthetics_score
sd_xl_mode1,19.72896,0.3099706470966339,0.18105055,0.013127346,0.39333513,6.6714454
sd_xl_mode2_llama,19.31607,0.2840244770050049,0.17019,0.008062211,0.2880168,6.872509
sd_xl_mode2_gpt4,19.122051,0.298117458820343,0.17344421,0.010438286,0.3540781,6.846387
sd_xl_mode2_beautiful_prompt,19.159746,0.33429646492004395,0.16440207,0.004074791,0.19184098,7.394537
sd_xl_mode2_magic_prompt,19.742079,0.31572800874710083,0.16627125,0.0075926543,0.31309825,7.41023
sd_xl_mode2_deepseek-r1-14b,19.126478,0.2982913851737976,0.16998518,0.010172007,0.3255477,6.847467
sd_xl_mode3_llama_1,19.417507,0.29648450016975403,0.17598645,0.010441822,0.33543926,6.5931144
sd_xl_mode3_llama_2,20.034433,0.3306630253791809,0.184085,0.013545326,0.38409987,6.818409
sd_xl_mode3_llama_3,20.384605,0.35136330127716064,0.18904904,0.01626458,0.41599476,6.942412
sd_xl_mode3_deepseek-r1-14b_1,19.27068,0.2873317003250122,0.17596017,0.010447558,0.35547656,6.527736
sd_xl_mode3_deepseek-r1-14b_2,19.83928,0.315226674079895,0.18266395,0.014325482,0.385474,6.7373934
sd_xl_mode3_deepseek-r1-14b_3,20.099773,0.3281465470790863,0.18633904,0.016117703,0.40201914,6.8458185
sd_cascade_mode1,19.162893,0.26051485538482666,0.17164345,0.0069947992,0.3601941,6.60605
sd_cascade_mode2_llama,19.069212,0.2509555220603943,0.16564372,0.0071803546,0.2763794,6.840692
sd_cascade_mode2_gpt4,18.902098,0.2689209580421448,0.16762803,0.005684108,0.31967008,6.794059
sd_cascade_mode2_beautiful_prompt,18.8137,0.2939750552177429,0.16301717,0.0036261587,0.17974347,7.3461037
sd_cascade_mode2_magic_prompt,19.391962,0.2744947671890259,0.16888416,0.008701381,0.28954017,7.2555356
sd_cascade_mode2_deepseek-r1-14b,20.042753,0.38417771458625793,0.17448859,0.022543805,0.2263165,5.965721
sd_cascade_mode3_llama_1,19.033833,0.25655391812324524,0.16940613,0.0064175134,0.30653793,6.4755282
sd_cascade_mode3_llama_2,19.526726,0.27873432636260986,0.17574099,0.008734454,0.36426768,6.680276
sd_cascade_mode3_llama_3,19.813559,0.2921854555606842,0.17979737,0.010169935,0.39653668,6.7926807
sd_cascade_mode3_gpt4,18.963633,0.24819272756576538,0.17076187,0.008489691,0.34597632,6.4965653
sd_cascade_mode3_deepseek-r1-14b_1,19.017649,0.25187748670578003,0.1684589,0.0056167175,0.34499714,6.5562577
sd_cascade_mode3_deepseek-r1-14b_2,19.427464,0.2691164016723633,0.17386301,0.008239824,0.38205627,6.7371383
sd_cascade_mode3_deepseek-r1-14b_3,19.68227,0.2794843912124634,0.17635264,0.009741118,0.40455225,6.828944
